form,filed,report_date,accession,items
8-K,2018-01-30,2018-01-30,0001628280-18-000714,"2.02,5.02"
8-K,2018-01-17,2018-01-12,0001628280-18-000366,"1.01,2.03,9.01"
8-K,2017-11-20,2017-11-16,0001628280-17-011731,"3.01,9.01"
NT 10-Q,2017-11-13,2017-11-13,0001628280-17-011478,
8-K,2017-10-31,2017-10-28,0001193125-17-327461,"1.01,2.03,9.01"
8-K,2017-10-26,2017-10-26,0001628280-17-010235,"2.02,9.01"
8-K,2017-09-15,2017-09-14,0001628280-17-009319,"3.01,9.01"
NT 10-K,2017-08-29,2017-08-29,0001628280-17-008984,
8-K,2017-08-03,2017-08-03,0001628280-17-008033,"2.02,9.01"
8-K,2017-07-20,2017-07-20,0001628280-17-007157,"2.02,9.01"
10-Q,2017-05-10,2017-03-31,0001628280-17-005370,
8-K,2017-04-27,2017-04-27,0001628280-17-004432,"2.02,9.01"
8-K,2017-03-02,2017-03-01,0001628280-17-002111,5.07
10-Q,2017-02-07,2016-12-31,0001628280-17-000961,
8-K,2017-01-26,2017-01-26,0001628280-17-000437,"2.02,9.01"
10-Q,2016-11-07,2016-09-30,0001628280-16-020941,
8-K,2016-10-27,2016-10-27,0001628280-16-020384,"2.02,9.01"
10-K,2016-08-26,2016-06-30,0001628280-16-019274,
8-K,2016-08-04,2016-08-04,0001628280-16-018511,"2.02,9.01"
8-K,2016-07-18,2016-07-18,0001628280-16-017629,"2.02,8.01,9.01"
10-Q,2016-05-06,2016-03-31,0001628280-16-015755,
8-K,2016-04-28,2016-04-28,0001628280-16-014939,"2.02,9.01"
8-K,2016-04-15,2016-04-14,0001628280-16-014222,"2.02,9.01"
8-K,2016-03-14,2016-03-08,0001628280-16-012679,"5.02,5.07,9.01"
10-Q,2016-02-04,2015-12-31,0001628280-16-010768,
8-K,2016-01-28,2016-01-28,0001628280-16-010494,"2.02,9.01"
8-K,2016-01-12,2016-01-12,0001628280-16-010201,"2.02,9.01"
10-Q,2015-11-16,2015-09-30,0001628280-15-008828,
10-K/A,2015-11-16,2015-06-30,0001628280-15-008827,
8-K/A,2015-11-16,2015-10-22,0001628280-15-008826,2.02
NT 10-Q,2015-11-10,2015-09-30,0001628280-15-008619,
8-K,2015-10-22,2015-10-22,0001628280-15-007783,"2.02,9.01"
8-K,2015-10-08,2015-10-08,0001628280-15-007626,"2.02,9.01"
10-K,2015-09-10,2015-06-30,0001628280-15-007025,
NT 10-K,2015-08-31,2015-06-30,0001628280-15-006916,
8-K,2015-08-04,2015-08-04,0001628280-15-006029,"2.02,9.01"
10-Q,2015-05-07,2015-03-31,0001628280-15-003900,
8-K,2015-04-21,2015-04-21,0001628280-15-002702,"2.02,9.01"
8-K,2015-02-17,2015-02-11,0001628280-15-000794,5.07
10-Q,2015-02-09,2014-12-31,0001628280-15-000533,
8-K,2015-01-20,2015-01-15,0001628280-15-000167,"2.02,5.02,9.01"
10-Q,2014-11-06,2014-09-30,0001445305-14-004894,
8-K,2014-10-21,2014-10-21,0001445305-14-004352,"2.02,9.01"
10-K,2014-09-15,2014-06-30,0001445305-14-003958,
8-K,2014-08-05,2014-08-05,0001445305-14-003415,"2.02,9.01"
10-Q,2014-05-07,2014-03-31,0001445305-14-001932,
8-K,2014-04-22,2014-04-22,0001445305-14-001395,"2.02,9.01"
8-K,2014-02-14,2014-02-13,0001445305-14-000466,5.07
10-Q,2014-02-07,2013-12-31,0001445305-14-000277,
8-K,2014-01-21,2014-01-21,0001445305-14-000098,"2.02,9.01"
