concept,period,cik,val,end
Revenues,CY2023,1124524,168662000.0,2023-12-31
Revenues,CY2023,1125345,58749000.0,2023-12-31
Revenues,CY2023,1125376,3729355000.0,2023-12-31
Revenues,CY2023,1132105,1287987000.0,2024-02-03
Revenues,CY2023,1133421,39290000000.0,2023-12-31
Revenues,CY2023,1137789,7384000000.0,2023-06-30
Revenues,CY2023,1138118,31949000000.0,2023-12-31
Revenues,CY2023,1140536,9483000000.0,2023-12-31
Revenues,CY2023,1141391,25098000000.0,2023-12-31
Revenues,CY2023,1144879,165575000.0,2024-05-31
Revenues,CY2023,1156375,5578900000.0,2023-12-31
Revenues,CY2023,1159167,890580000.0,2023-12-30
Revenues,CY2023,1165002,89781000.0,2023-12-31
Revenues,CY2023,1167419,280678000.0,2023-12-31
Revenues,CY2023,1170010,26536040000.0,2024-02-29
Revenues,CY2023,1178697,93632000.0,2023-12-31
Revenues,CY2023,1193311,5586000000.0,2023-12-31
Revenues,CY2023,1210677,763761000.0,2023-12-31
Revenues,CY2023,1210708,161338000.0,2023-12-31
Revenues,CY2023,1253176,68669000.0,2023-12-31
Revenues,CY2023,1254699,9449000000.0,2023-12-31
Revenues,CY2023,1262823,12548000000.0,2023-12-31
Revenues,CY2023,1262976,3079627000.0,2023-06-30
Revenues,CY2023,1269238,6269000000.0,2023-12-31
Revenues,CY2023,1274494,3318602000.0,2023-12-31
Revenues,CY2023,1275014,1734500000.0,2023-12-29
Revenues,CY2023,1281845,262519424.0,2024-05-31
Revenues,CY2023,1286681,4479358000.0,2023-12-31
Revenues,CY2023,1294133,315660000.0,2023-12-31
Revenues,CY2023,1294404,50015000.0,2023-12-31
Revenues,CY2023,1296774,174045000.0,2023-12-31
Revenues,CY2023,1297184,644395000.0,2023-12-31
Revenues,CY2023,1305168,281201000.0,2023-12-31
Revenues,CY2023,1309402,3295743000.0,2023-12-31
Revenues,CY2023,1313275,201187000.0,2023-12-31
Revenues,CY2023,1316517,123599232.0,2023-12-31
Revenues,CY2023,1317630,1545000000.0,2023-12-31
Revenues,CY2023,1318220,8021951000.0,2023-12-31
Revenues,CY2023,1318605,96773000000.0,2023-12-31
Revenues,CY2023,1319229,653120000.0,2023-12-31
Revenues,CY2023,1319947,3074976000.0,2024-02-03
Revenues,CY2023,1321732,1058522000.0,2023-12-31
Revenues,CY2023,1322439,393799000.0,2023-12-31
Revenues,CY2023,1325618,65562296.0,2023-12-31
Revenues,CY2023,1325702,230051000.0,2023-12-31
Revenues,CY2023,1326200,383825000.0,2023-12-31
Revenues,CY2023,1328919,143527769.0,2023-12-31
Revenues,CY2023,1334978,1434186000.0,2023-12-31
Revenues,CY2023,1336917,5701879000.0,2024-03-31
Revenues,CY2023,1337013,125785000.0,2023-12-31
Revenues,CY2023,1338940,743155000.0,2023-12-31
Revenues,CY2023,1340476,181931000.0,2023-12-31
Revenues,CY2023,1341170,189357383.0,2023-12-31
Revenues,CY2023,1341766,1318014000.0,2023-12-31
Revenues,CY2023,1346610,92416000.0,2023-12-31
Revenues,CY2023,1347178,192640000.0,2023-12-31
Revenues,CY2023,1364479,3282000000.0,2023-12-31
Revenues,CY2023,1367644,1049300000.0,2023-12-31
Revenues,CY2023,1369241,973583000.0,2023-12-31
Revenues,CY2023,1381640,3775247000.0,2023-12-31
Revenues,CY2023,1386278,1501328000.0,2023-12-31
Revenues,CY2023,1386716,949269000.0,2023-12-31
Revenues,CY2023,1391135,51610562.0,2023-12-31
Revenues,CY2023,1392972,303708000.0,2023-12-31
Revenues,CY2023,1393883,151878000.0,2023-12-31
Revenues,CY2023,1397047,116975007.0,2023-12-31
Revenues,CY2023,1398987,5636000000.0,2023-12-31
Revenues,CY2023,1399520,332769000.0,2023-12-31
Revenues,CY2023,1403568,11207303000.0,2024-02-03
Revenues,CY2023,1409269,76354000.0,2023-12-31
Revenues,CY2023,1409375,90581000.0,2024-03-31
Revenues,CY2023,1413898,139696000.0,2023-12-31
Revenues,CY2023,1415921,1306889000.0,2023-12-31
Revenues,CY2023,1417892,105642000.0,2023-12-31
Revenues,CY2023,1418819,790723000.0,2023-12-31
Revenues,CY2023,1419275,65869000.0,2023-12-31
Revenues,CY2023,1423221,1130583000.0,2023-10-31
Revenues,CY2023,1423902,3106476000.0,2023-12-31
Revenues,CY2023,1429260,84513000.0,2023-12-31
Revenues,CY2023,1429764,140598000.0,2023-12-31
Revenues,CY2023,1430725,674795000.0,2023-12-31
Revenues,CY2023,1434621,672502000.0,2023-12-31
Revenues,CY2023,1436208,189144000.0,2023-12-31
Revenues,CY2023,1437226,201098000.0,2023-12-31
Revenues,CY2023,1448431,71522000.0,2023-12-31
Revenues,CY2023,1450704,59321752.0,2023-12-31
Revenues,CY2023,1472072,75691000.0,2023-12-31
Revenues,CY2023,1474903,125077000.0,2023-12-31
Revenues,CY2023,1479681,247646000.0,2023-12-31
Revenues,CY2023,1483994,3082000000.0,2023-12-31
Revenues,CY2023,1487952,355048000.0,2023-12-31
Revenues,CY2023,1491419,118440000.0,2024-03-31
Revenues,CY2023,1492691,7141766000.0,2023-12-31
Revenues,CY2023,1493594,648407000.0,2023-09-29
Revenues,CY2023,1494582,96253736.0,2023-12-31
Revenues,CY2023,1500435,1005459000.0,2023-12-31
Revenues,CY2023,1501585,11454000000.0,2023-12-31
Revenues,CY2023,1501989,101214000.0,2023-12-31
Revenues,CY2023,1509223,52073000.0,2023-12-31
Revenues,CY2023,1510593,363722000.0,2023-12-31
Revenues,CY2023,1511737,1940512000.0,2023-06-30
Revenues,CY2023,1512673,21915623000.0,2023-12-31
Revenues,CY2023,1517396,627598000.0,2023-12-31
Revenues,CY2023,1521332,20051000000.0,2023-12-31
Revenues,CY2023,1524472,7364000000.0,2023-12-31
Revenues,CY2023,1524931,461310000.0,2023-12-31
Revenues,CY2023,1528356,428708000.0,2023-12-31
Revenues,CY2023,1529628,295973000.0,2023-12-31
Revenues,CY2023,1532286,609526000.0,2023-12-31
Revenues,CY2023,1539838,8412000000.0,2023-12-31
Revenues,CY2023,1539850,65211238.0,2023-12-31
Revenues,CY2023,1543151,37281000000.0,2023-12-31
Revenues,CY2023,1555280,8544000000.0,2023-12-31
Revenues,CY2023,1563190,4885000000.0,2023-12-31
Revenues,CY2023,1564180,290716000.0,2023-12-31
Revenues,CY2023,1571996,88425000000.0,2024-02-02
Revenues,CY2023,1576280,563948000.0,2023-12-31
Revenues,CY2023,1576789,1561665000.0,2023-12-31
Revenues,CY2023,1579877,1820600000.0,2023-12-31
Revenues,CY2023,1580560,403094000.0,2023-12-31
Revenues,CY2023,1581804,550737000.0,2023-12-31
Revenues,CY2023,1584549,163109000.0,2023-12-31
Revenues,CY2023,1585689,10235000000.0,2023-12-31
Revenues,CY2023,1591698,1174598000.0,2023-06-30
Revenues,CY2023,1596783,4263000000.0,2023-06-30
Revenues,CY2023,1596993,560717436.0,2024-03-31
Revenues,CY2023,1597553,86455000.0,2023-12-31
Revenues,CY2023,1598110,751888000.0,2023-12-31
Revenues,CY2023,1601046,5464000000.0,2023-10-31
Revenues,CY2023,1603145,1078000000.0,2023-12-31
Revenues,CY2023,1603652,184653000.0,2023-12-31
Revenues,CY2023,1603993,386670899.0,2023-12-31
Revenues,CY2023,1604778,3769506000.0,2024-03-30
Revenues,CY2023,1609151,170468000.0,2023-12-31
Revenues,CY2023,1615165,99986000.0,2023-12-31
Revenues,CY2023,1616862,5184000000.0,2023-12-31
Revenues,CY2023,1619762,2529000000.0,2023-12-31
Revenues,CY2023,1621434,592216000.0,2023-12-31
Revenues,CY2023,1625414,1241146000.0,2023-12-31
Revenues,CY2023,1625791,219786000.0,2023-12-31
Revenues,CY2023,1630627,187118000.0,2023-12-31
Revenues,CY2023,1633917,29771000000.0,2023-12-31
Revenues,CY2023,1636222,460055000.0,2023-12-30
Revenues,CY2023,1637873,481234000.0,2023-12-31
Revenues,CY2023,1643953,510541000.0,2023-12-31
Revenues,CY2023,1645113,509338000.0,2023-12-31
